iter	Passed	Remaining
0	1	122
1	2	133
2	4	135
3	5	127
4	6	128
5	8	126
6	9	124
7	10	123
8	12	124
9	14	126
10	15	125
11	17	124
12	18	122
13	19	121
14	21	121
15	22	119
16	24	117
17	25	117
18	27	116
19	28	115
20	30	114
21	31	112
22	33	111
23	34	110
24	36	110
25	38	108
26	39	107
27	41	106
28	42	104
29	44	103
30	45	102
31	47	100
32	48	99
33	50	97
34	51	96
35	53	94
36	54	93
37	56	92
38	58	90
39	59	89
40	61	88
41	62	85
42	63	84
43	65	83
44	67	81
45	68	80
46	70	79
47	71	77
48	73	76
49	74	74
50	76	73
51	77	71
52	79	70
53	80	68
54	81	66
55	83	65
56	84	64
57	86	62
58	87	61
59	89	59
60	90	58
61	92	56
62	93	55
63	95	53
64	97	52
65	98	50
66	100	49
67	101	47
68	103	46
69	105	45
70	106	43
71	108	42
72	109	40
73	111	39
74	112	37
75	114	36
76	115	34
77	117	33
78	119	31
79	120	30
80	122	28
81	123	27
82	125	25
83	126	24
84	128	22
85	130	21
86	131	19
87	133	18
88	135	16
89	136	15
90	137	13
91	139	12
92	140	10
93	142	9
94	144	7
95	145	6
96	146	4
97	148	3
98	149	1
99	151	0
